1/2-SBSRNA4 	 0
A1BG 	 0
A1BG-AS1 	 2
A1CF 	 0
A2LD1 	 0
A2M 	 0
A2ML1 	 0
A2MP1 	 0
A4GALT 	 0
A4GNT 	 0
AA06 	 0
AAA1 	 0
AAAS 	 0
AACS 	 36
AACSP1 	 0
AADAC 	 0
AADACL2 	 0
AADACL3 	 0
AADACL4 	 0
AADAT 	 0
AAGAB 	 0
AAK1 	 78
AAMP 	 0
AANAT 	 0
AARS 	 149
AARS2 	 0
AARSD1 	 0
AASDH 	 129
AASDHPPT 	 197
AASS 	 0
AATF 	 0
AATK 	 0
AATK-AS1 	 0
ABAT 	 120
ABCA1 	 49
ABCA10 	 8
ABCA11P 	 0
ABCA12 	 0
ABCA13 	 1
ABCA17P 	 0
ABCA2 	 0
ABCA3 	 2
ABCA4 	 0
ABCA5 	 16
ABCA6 	 13
ABCA7 	 0
ABCA8 	 0
ABCA9 	 6
ABCB1 	 0
ABCB10 	 3
ABCB11 	 0
ABCB4 	 0
ABCB5 	 0
ABCB6 	 3
ABCB7 	 0
ABCB8 	 0
ABCB9 	 0
ABCC1 	 0
ABCC10 	 0
ABCC11 	 1
ABCC12 	 1
ABCC13 	 0
ABCC2 	 0
ABCC3 	 1
ABCC4 	 0
ABCC5 	 1
ABCC6 	 0
ABCC6P1 	 0
ABCC6P2 	 0
ABCC8 	 0
ABCC9 	 0
ABCD1 	 0
ABCD2 	 512
ABCD3 	 2
ABCD4 	 41
ABCE1 	 0
ABCF1 	 0
ABCF2 	 43
ABCF3 	 17
ABCG1 	 0
ABCG2 	 0
ABCG4 	 0
ABCG5 	 0
ABCG8 	 0
ABHD1 	 0
ABHD10 	 1
ABHD11 	 0
ABHD11-AS1 	 0
ABHD12 	 0
ABHD12B 	 0
ABHD13 	 0
ABHD14A 	 56
ABHD14A-ACY1 	 0
ABHD14B 	 0
ABHD15 	 0
ABHD16A 	 0
ABHD16B 	 0
ABHD2 	 189
ABHD3 	 1
ABHD4 	 0
ABHD5 	 0
ABHD6 	 1
ABHD8 	 0
ABI1 	 673
ABI2 	 37
ABI3 	 0
ABI3BP 	 0
ABL1 	 0
ABL2 	 2
ABLIM1 	 8
ABLIM2 	 0
ABLIM3 	 6
ABO 	 0
ABP1 	 0
ABR 	 10
ABRA 	 0
ABT1 	 0
ABTB1 	 3
ABTB2 	 0
ACAA1 	 1
ACAA2 	 0
ACACA 	 163
ACACB 	 0
ACAD10 	 0
ACAD11 	 0
ACAD8 	 0
ACAD9 	 0
ACADL 	 0
ACADM 	 18
ACADS 	 0
ACADSB 	 99
ACADVL 	 0
ACAN 	 0
ACAP1 	 0
ACAP2 	 0
ACAP3 	 0
ACAT1 	 16
ACAT2 	 25
ACBD3 	 189
ACBD4 	 0
ACBD5 	 0
ACBD6 	 0
ACBD7 	 0
ACCN1 	 152
ACCN2 	 143
ACCN3 	 0
ACCN4 	 1
ACCN5 	 0
ACCS 	 0
ACCSL 	 0
ACD 	 0
ACE 	 0
ACE2 	 0
ACER1 	 0
ACER2 	 0
ACER3 	 0
ACHE 	 1
ACIN1 	 5
ACLY 	 92
ACMSD 	 0
ACN9 	 0
ACO1 	 0
ACO2 	 32
ACOT1 	 0
ACOT11 	 0
ACOT12 	 0
ACOT13 	 4
ACOT2 	 0
ACOT4 	 0
ACOT6 	 0
ACOT7 	 79
ACOT8 	 113
ACOT9 	 1
