1/2-SBSRNA4 	 2
A1BG 	 0
A1BG-AS1 	 0
A1CF 	 0
A2LD1 	 0
A2M 	 1
A2ML1 	 0
A2MP1 	 0
A4GALT 	 0
A4GNT 	 0
AA06 	 0
AAA1 	 0
AAAS 	 0
AACS 	 205
AACSP1 	 0
AADAC 	 0
AADACL2 	 0
AADACL3 	 0
AADACL4 	 0
AADAT 	 79
AAGAB 	 4
AAK1 	 845
AAMP 	 23
AANAT 	 0
AARS 	 125
AARS2 	 0
AARSD1 	 0
AASDH 	 76
AASDHPPT 	 902
AASS 	 0
AATF 	 80
AATK 	 13
AATK-AS1 	 0
ABAT 	 327
ABCA1 	 1
ABCA10 	 0
ABCA11P 	 4
ABCA12 	 0
ABCA13 	 0
ABCA17P 	 0
ABCA2 	 1
ABCA3 	 0
ABCA4 	 0
ABCA5 	 392
ABCA6 	 0
ABCA7 	 0
ABCA8 	 0
ABCA9 	 118
ABCB1 	 0
ABCB10 	 0
ABCB11 	 1
ABCB4 	 0
ABCB5 	 0
ABCB6 	 1
ABCB7 	 11
ABCB8 	 3
ABCB9 	 2
ABCC1 	 189
ABCC10 	 5
ABCC11 	 0
ABCC12 	 0
ABCC13 	 0
ABCC2 	 0
ABCC3 	 309
ABCC4 	 0
ABCC5 	 217
ABCC6 	 0
ABCC6P1 	 0
ABCC6P2 	 0
ABCC8 	 2
ABCC9 	 0
ABCD1 	 0
ABCD2 	 1
ABCD3 	 0
ABCD4 	 0
ABCE1 	 524
ABCF1 	 0
ABCF2 	 15
ABCF3 	 7
ABCG1 	 0
ABCG2 	 0
ABCG4 	 0
ABCG5 	 0
ABCG8 	 0
ABHD1 	 0
ABHD10 	 6
ABHD11 	 0
ABHD11-AS1 	 0
ABHD12 	 1
ABHD12B 	 0
ABHD13 	 2
ABHD14A 	 1
ABHD14A-ACY1 	 0
ABHD14B 	 12
ABHD15 	 0
ABHD16A 	 0
ABHD16B 	 0
ABHD2 	 202
ABHD3 	 0
ABHD4 	 0
ABHD5 	 125
ABHD6 	 57
ABHD8 	 0
ABI1 	 201
ABI2 	 656
ABI3 	 0
ABI3BP 	 0
ABL1 	 0
ABL2 	 492
